@==================================================@
@=============== Foreign Demand     ===============@
@==================================================@
 wH  wF wFH
      0.91350687       0.91248919    -0.0010176861 
      0.95863783       0.93230461     -0.026333224 
       1.0061109       0.98950140     -0.016609515 
       1.0470434        1.0252274     -0.021816014 
       1.0919667        1.0535710     -0.038395651 
       1.1208097        1.0754806     -0.045329103 
       1.1282732        1.0841644     -0.044108770 
       1.1334662        1.0531589     -0.080307302 
       1.1384677        1.0571909     -0.081276844 
       1.1488643        1.0527085     -0.096155855 
       1.1481297        1.0646220     -0.083507765 
       1.1585944        1.0767033     -0.081891098 
       1.1564221        1.0821020     -0.074320109 
       1.1538752        1.0813363     -0.072538910 
       1.1421173        1.0679463     -0.074171040 
       1.1364263        1.0584961     -0.077930292 
       1.1472908        1.0685359     -0.078754834 
       1.1480124        1.0782566     -0.069755780 
       1.1488102        1.0969443     -0.051865879 
       1.1518517        1.0677657     -0.084085999 
       1.1636776        1.0803688     -0.083308723 
       1.1584852        1.0913093     -0.067175980 
       1.1751909        1.1023941     -0.072796793 
       1.1784271        1.0942278     -0.084199238 
       1.1756091        1.1122602     -0.063348888 
       1.1697843        1.1113799     -0.058404368 
       1.1543563        1.0992188     -0.055137509 

@=====================================@
@============ No Inventory ===========@
@=====================================@
 wHnoInv  wFnoInv wFHnoInv
  -0.00082435000    0.00082435000     0.0016487000 
    0.0091879153    0.00054618469    -0.0086417306 
    0.0026159841      0.032545184      0.029929199 
     0.036100249      0.088387540      0.052287291 
     0.051079748       0.11256640      0.061486652 
   -0.0047702522       0.11235932       0.11712957 
    -0.064836646      0.094462652       0.15929930 
    -0.014623241       0.10925207       0.12387531 
     0.024961232       0.15486348       0.12990225 
     0.033916724       0.15660618       0.12268946 
     0.012129847       0.15817368       0.14604383 
     0.043173977       0.14764437       0.10447039 
     0.020136491      0.096988656      0.076852165 
   -0.0021594239       0.11737010       0.11952952 
     0.036182441      0.085192325      0.049009883 
   -0.0043616453      0.032975326      0.037336971 
    0.0068050913      0.054284875      0.047479784 
     0.063993385      0.075234772      0.011241388 
      0.12486226       0.10351812     -0.021344138 
      0.15405167       0.14288450     -0.011167177 
      0.21338965       0.17663795     -0.036751704 
      0.24162075       0.20832127     -0.033299476 
      0.25283356       0.23674552     -0.016088042 
      0.26884296       0.26006129    -0.0087816619 
      0.23190882       0.26036863      0.028459807 
      0.26612618       0.26046865    -0.0056575380 
      0.24288286       0.24428989     0.0014070337 
      0.27033174       0.26599707    -0.0043346687 
      0.25829014       0.28485066      0.026560518 
      0.28632188       0.28190221    -0.0044196729 
      0.30364464       0.28803462     -0.015610014 
      0.30293881       0.31287318     0.0099343643 
      0.29068209       0.29048196   -0.00020013332 
      0.30953376       0.31093508     0.0014013231 
      0.32180741       0.33480901      0.013001602 
      0.33587254       0.34990524      0.014032704 
      0.32954109       0.36779319      0.038252092 
      0.31283960       0.38226013      0.069420531 
      0.32812372       0.38929708      0.061173358 
      0.35066951       0.39938710      0.048717583 
      0.34883765       0.41885253      0.070014878 
      0.34884895       0.44436708      0.095518139 
      0.33833528       0.44256585       0.10423057 
      0.35083458       0.43755563      0.086721050 
      0.37463960       0.46472138      0.090081778 
      0.36367583       0.45702005      0.093344218 
      0.35684876       0.43495709      0.078108330 
      0.33680540       0.40794756      0.071142152 
      0.31925380       0.38665698      0.067403182 
      0.32592216       0.41097660      0.085054442 
      0.34141618       0.41906457      0.077648395 
      0.35347356       0.42449568      0.071022112 
      0.35294157       0.42760372      0.074662153 
      0.35723937       0.42675484      0.069515465 
      0.36555645       0.43209261      0.066536156 
      0.37688487       0.43957465      0.062689779 
      0.38705705       0.43382215      0.046765101 
      0.39788257       0.43122757      0.033345001 
      0.40121351       0.41500694      0.013793429 
      0.42615865       0.44852884      0.022370186 
      0.43630071       0.45915866      0.022857949 
      0.46138601       0.47915147      0.017765460 
      0.48377137       0.49075071     0.0069793320 
      0.50044889       0.50388063     0.0034317468 
      0.51559398       0.51494270   -0.00065128045 
      0.52144002       0.51045131     -0.010988715 
      0.51745541       0.54466836      0.027212947 
      0.51975683       0.55385884      0.034102015 
      0.54204005       0.55649247      0.014452422 
      0.55050104       0.57463184      0.024130799 
      0.56889546       0.57811492     0.0092194623 
      0.57829098       0.62364035      0.045349376 
      0.60744196       0.63429382      0.026851858 
      0.62441107       0.66993200      0.045520924 
      0.64624890       0.69034296      0.044094058 
      0.65384562       0.69137114      0.037525517 
      0.67257545       0.71075090      0.038175447 
      0.68025690       0.70456360      0.024306702 
      0.67640020       0.71144082      0.035040626 
      0.69166489       0.75041738      0.058752492 
      0.69103594       0.72629022      0.035254280 
      0.70749877       0.73287606      0.025377286 
      0.73228211       0.75609328      0.023811162 
      0.74532617       0.77597662      0.030650458 
      0.77735079       0.77897720     0.0016264135 
      0.79494066       0.81304513      0.018104470 
      0.82131782       0.82678203     0.0054642177 
      0.81247332       0.82328737      0.010814048 
      0.78975189       0.80524183      0.015489942 
      0.74777744       0.78089051      0.033113077 
      0.71690306       0.73534025      0.018437184 
      0.69107558       0.70748191      0.016406326 
      0.70664257       0.72799837      0.021355804 
      0.72998945       0.74569901      0.015709565 
      0.73614861       0.74747225      0.011323643 
      0.74940782       0.73103345     -0.018374372 
      0.73093204       0.72048183     -0.010450207 
      0.73695609       0.71651471     -0.020441383 
      0.73935761       0.74647284     0.0071152300 
      0.76617456       0.77798394      0.011809375 
      0.79219671       0.79448125     0.0022845435 
      0.82633929       0.80828337     -0.018055922 
      0.83212478       0.80987037     -0.022254409 
      0.85236015       0.82695765     -0.025402499 
      0.85927936       0.84119737     -0.018081992 
      0.86918270       0.85100286     -0.018179840 
      0.87048040       0.84682905     -0.023651357 
      0.89866741       0.86749939     -0.031168018 
      0.91659337       0.89816444     -0.018428933 
      0.92841020       0.90522287     -0.023187326 
      0.93559109       0.89610614     -0.039484955 
      0.93671245       0.92608963     -0.010622816 
      0.95074117       0.92659220     -0.024148973 
      0.95371275       0.93220473     -0.021508023 
      0.95458771       0.94729868    -0.0072890253 
      0.94812277       0.95496660     0.0068438282 
      0.96620080       0.93803538     -0.028165414 
      0.96779163       0.95400411     -0.013787516 
      0.95759200       0.92812933     -0.029462668 
      0.91392686       0.87367427     -0.040252594 
      0.80602665       0.79831752    -0.0077091244 
      0.76654755       0.76622062   -0.00032693441 
      0.80399110       0.77168159     -0.032309516 
      0.84405466       0.81264531     -0.031409350 
      0.86883745       0.81466850     -0.054168959 
      0.91068230       0.83324406     -0.077438242 
      0.94079522       0.85494754     -0.085847684 
      0.94839067       0.86576157     -0.082629098 
      0.96218351       0.85231150      -0.10987201 
      0.97254215       0.86452515      -0.10801700 
      0.98183478       0.85855000      -0.12328478 
      0.98865123       0.88097691      -0.10767433 
      0.99444688       0.88205930      -0.11238758 
      0.99754793       0.89645335      -0.10109458 
      0.99628302       0.89761698     -0.098666049 
      0.98705504       0.88913314     -0.097921894 
      0.98637101       0.88842470     -0.097946302 
      0.99667862       0.89622174      -0.10045688 
      0.99795014       0.90590473     -0.092045410 
      0.99753559       0.92346379     -0.074071802 
       1.0034587       0.89880120      -0.10465751 
       1.0207196       0.92036193      -0.10035770 
       1.0142856       0.92763285     -0.086652748 
       1.0327923       0.94121683     -0.091575435 
       1.0382493       0.93445854      -0.10379079 
       1.0357498       0.95228098     -0.083468822 
       1.0324703       0.95668439     -0.075785897 
       1.0203905       0.95180983     -0.068580713 

@===================================@
@============ Benchmark  ===========@
@===================================@
 wHBench  wFBench wFHBench
   0.00013275000   -0.00013275000   -0.00026550000 
    0.0085057866    -0.0060155866     -0.014521373 
    0.0035430067      0.024214639      0.020671632 
     0.034728926      0.071743432      0.037014506 
     0.054133904       0.10019153      0.046057627 
    0.0021616128       0.10649714       0.10433553 
    -0.056015134      0.089738367       0.14575350 
   -0.0072882945      0.097683498       0.10497179 
     0.049805403       0.17424429       0.12443888 
     0.070339068       0.19984921       0.12951014 
     0.041183477       0.18660733       0.14542386 
     0.077546445       0.18634622       0.10879978 
     0.045684261       0.11947894      0.073794674 
     0.017289546       0.12803275       0.11074320 
     0.064919653       0.11538744      0.050467783 
     0.027225810      0.069389234      0.042163424 
     0.033917884      0.081027651      0.047109767 
      0.10236984       0.12318248      0.020812639 
      0.17615161       0.17683364    0.00068203258 
      0.20922199       0.22291260      0.013690610 
      0.27503876       0.26863110    -0.0064076623 
      0.30708826       0.30806399    0.00097572948 
      0.30825872       0.31854297      0.010284245 
      0.31561083       0.32606575      0.010454922 
      0.26623311       0.30447930      0.038246182 
      0.29364172       0.29060897    -0.0030327525 
      0.27200420       0.27697015     0.0049659487 
      0.30000802       0.29782395    -0.0021840682 
      0.29007855       0.31963902      0.029560470 
      0.31537335       0.31145416    -0.0039191828 
      0.32977613       0.31078560     -0.018990527 
      0.32807805       0.33332264     0.0052445894 
      0.32125105       0.32003439    -0.0012166564 
      0.34761913       0.35380479     0.0061856682 
      0.35667431       0.37095163      0.014277316 
      0.37149205       0.38544321      0.013951166 
      0.37328383       0.41909634      0.045812506 
      0.34659191       0.41212925      0.065537336 
      0.36284482       0.42265686      0.059812039 
      0.38560154       0.43136263      0.045761089 
      0.38590530       0.45414915      0.068243849 
      0.38761130       0.48375105      0.096139747 
      0.37236009       0.47295146       0.10059137 
      0.38125918       0.46045496      0.079195779 
      0.40718735       0.49093767      0.083750318 
      0.39697552       0.48607220      0.089096683 
      0.39296984       0.46861076      0.075640915 
      0.37076546       0.43569386      0.064928398 
      0.34947823       0.40904673      0.059568505 
      0.35831598       0.43929296      0.080976974 
      0.37749692       0.45482425      0.077327332 
      0.39591836       0.47163311      0.075714741 
      0.39871986       0.48097402      0.082254156 
      0.39995064       0.47252747      0.072576834 
      0.41143051       0.48256908      0.071138569 
      0.42191609       0.48874763      0.066831542 
      0.43213302       0.48375312      0.051620097 
      0.44342755       0.48154388      0.038116331 
      0.44277480       0.45820751      0.015432710 
      0.46521626       0.48623120      0.021014941 
      0.47868120       0.50376474      0.025083546 
      0.50760105       0.53111399      0.023512938 
      0.52971263       0.54210539      0.012392754 
      0.53888093       0.53968811    0.00080718007 
      0.55293482       0.54936369    -0.0035711336 
      0.55330780       0.53278933     -0.020518472 
      0.54378477       0.55653181      0.012747040 
      0.54366871       0.56149225      0.017823544 
      0.56800031       0.56885515    0.00085484148 
      0.57754243       0.58873328      0.011190856 
      0.60038217       0.60121316    0.00083099352 
      0.61150344       0.65088939      0.039385945 
      0.63662603       0.65484390      0.018217864 
      0.65472543       0.69387362      0.039148192 
      0.67832889       0.71871023      0.040381333 
      0.67869565       0.70680947      0.028113818 
      0.69553064       0.72410181      0.028571179 
      0.70018818       0.71286052      0.012672342 
      0.68643178       0.70112986      0.014698074 
      0.70296687       0.74167021      0.038703338 
      0.70191761       0.71740303      0.015485419 
      0.71816259       0.72420442     0.0060418314 
      0.73779923       0.73726468   -0.00053454575 
      0.75316710       0.76150435     0.0083372513 
      0.78764135       0.77024974     -0.017391609 
      0.79924271       0.79297145    -0.0062712589 
      0.83182023       0.82047170     -0.011348531 
      0.81803917       0.80792843     -0.010110744 
      0.79298590       0.78667067    -0.0063152328 
      0.74556475       0.75297027     0.0074055137 
      0.72123311       0.72138403    0.00015091847 
      0.69681976       0.69771422    0.00089445779 
      0.71580901       0.72591026      0.010101252 
      0.75321652       0.77136602      0.018149492 
      0.76344848       0.78119809      0.017749613 
      0.77750081       0.76672449     -0.010776314 
      0.75982423       0.75640102    -0.0034232099 
      0.76519466       0.75046175     -0.014732903 
      0.76600571       0.77641103      0.010405324 
      0.79593388       0.81322596      0.017292089 
      0.82571415       0.83655682      0.010842671 
      0.86015648       0.85092709    -0.0092293878 
      0.86605871       0.85185283     -0.014205882 
      0.88373765       0.86193562     -0.021802035 
      0.88980322       0.87378721     -0.016016006 
      0.89861348       0.88170808     -0.016905393 
      0.89288650       0.86300658     -0.029879922 
      0.92259789       0.88634535     -0.036252539 
      0.94548456       0.92642719     -0.019057369 
      0.95418975       0.92723918     -0.026950564 
      0.96023741       0.91592163     -0.044315783 
      0.95896320       0.94149414     -0.017469065 
      0.96940916       0.93545997     -0.033949198 
      0.97278640       0.94095965     -0.031826755 
      0.97713139       0.96198047     -0.015150920 
      0.97127009       0.96901420    -0.0022558953 
      0.98832767       0.94923745     -0.039090226 
      0.99054714       0.96401289     -0.026534247 
      0.98410294       0.94550359     -0.038599347 
      0.94137024       0.89822237     -0.043147867 
      0.83116767       0.82179994    -0.0093677271 
      0.79279451       0.79216379   -0.00063072424 
      0.83757721       0.81101508     -0.026562124 
      0.89046783       0.87518002     -0.015287811 
      0.93442706       0.91462137     -0.019805689 
      0.98155325       0.94344794     -0.038105310 
       1.0129491       0.96695174     -0.045997347 
       1.0201000       0.97578828     -0.044311687 
       1.0253985       0.94416999     -0.081228550 
       1.0325152       0.94740112     -0.085114037 
       1.0412936       0.94079403      -0.10049958 
       1.0437761       0.95343402     -0.090342095 
       1.0546999       0.96382787     -0.090872029 
       1.0533093       0.96931047     -0.083998782 
       1.0502890       0.96759518     -0.082693790 
       1.0372574       0.95099725     -0.086260187 
       1.0319239       0.94085969     -0.091064248 
       1.0429895       0.95047307     -0.092516405 
       1.0452665       0.96235839     -0.082908071 
       1.0461570       0.98257007     -0.063586957 
       1.0478666       0.95026280     -0.097603755 
       1.0606640       0.96260725     -0.098056770 
       1.0556040       0.97252985     -0.083074184 
       1.0717117       0.98287105     -0.088840667 
       1.0744391       0.97333492      -0.10110417 
       1.0710498       0.99018325     -0.080866582 
       1.0637270       0.98824843     -0.075478619 
       1.0467231       0.97523593     -0.071487143 

@====================================@
@=========== Trade Wedge Gap ========@
@====================================@

@    Benchmark 		No-Inventory	  Foreign-Demand @
  -0.00026550000     0.0016487000    -0.0022443000 
    -0.014521373    -0.0086417306     -0.020606085 
     0.020671632      0.029929199      0.014904017 
     0.037014506      0.052287291      0.028993578 
     0.046057627      0.061486652      0.037124914 
      0.10433553       0.11712957      0.087209937 
      0.14575350       0.15929930       0.12818338 
      0.10497179       0.12387531      0.092561021 
      0.12443888       0.12990225       0.11380550 
      0.12951014       0.12268946       0.11590641 
      0.14542386       0.14604383       0.13090351 
      0.10879978       0.10447039      0.093411563 
     0.073794674      0.076852165      0.057426333 
      0.11074320       0.11952952      0.092415063 
     0.050467783      0.049009883      0.033084353 
     0.042163424      0.037336971      0.025682887 
     0.047109767      0.047479784      0.032228574 
     0.020812639      0.011241388     0.0086673239 
   0.00068203258     -0.021344138    -0.0092330226 
     0.013690610     -0.011167177     0.0054901609 
   -0.0064076623     -0.036751704     -0.014550382 
   0.00097572948     -0.033299476    -0.0080210463 
     0.010284245     -0.016088042    -0.0027792809 
     0.010454922    -0.0087816619    -0.0035693095 
     0.038246182      0.028459807      0.019640883 
   -0.0030327525    -0.0056575380     -0.019968225 
    0.0049659487     0.0014070337     -0.011637951 
   -0.0021840682    -0.0043346687     -0.017723705 
     0.029560470      0.026560518      0.013429937 
   -0.0039191828    -0.0044196729     -0.018307073 
    -0.018990527     -0.015610014     -0.031392625 
    0.0052445894     0.0099343643    -0.0089887542 
   -0.0012166564   -0.00020013332     -0.018111099 
    0.0061856682     0.0014013231     -0.010172638 
     0.014277316      0.013001602    -0.0028988418 
     0.013951166      0.014032704    -0.0061273053 
     0.045812506      0.038252092      0.023301611 
     0.065537336      0.069420531      0.042710527 
     0.059812039      0.061173358      0.035037611 
     0.045761089      0.048717583      0.023144484 
     0.068243849      0.070014878      0.044490076 
     0.096139747      0.095518139      0.069210360 
      0.10059137       0.10423057      0.074781325 
     0.079195779      0.086721050      0.053554985 
     0.083750318      0.090081778      0.059369213 
     0.089096683      0.093344218      0.061466986 
     0.075640915      0.078108330      0.047893898 
     0.064928398      0.071142152      0.036382414 
     0.059568505      0.067403182      0.028028675 
     0.080976974      0.085054442      0.048452883 
     0.077327332      0.077648395      0.045498582 
     0.075714741      0.071022112      0.045319615 
     0.082254156      0.074662153      0.053923616 
     0.072576834      0.069515465      0.048731078 
     0.071138569      0.066536156      0.050184319 
     0.066831542      0.062689779      0.048853946 
     0.051620097      0.046765101      0.034250866 
     0.038116331      0.033345001      0.023404304 
     0.015432710      0.013793429     0.0025478628 
     0.021014941      0.022370186      0.011800224 
     0.025083546      0.022857949      0.016653404 
     0.023512938      0.017765460      0.014029601 
     0.012392754     0.0069793320     0.0026462224 
   0.00080718007     0.0034317468    -0.0078498382 
   -0.0035711336   -0.00065128045     -0.012440140 
    -0.020518472     -0.010988715     -0.026675031 
     0.012747040      0.027212947     0.0061916650 
     0.017823544      0.034102015      0.011928562 
   0.00085484148      0.014452422    -0.0031415040 
     0.011190856      0.024130799     0.0099496368 
   0.00083099352     0.0092194623     0.0014505215 
     0.039385945      0.045349376      0.037915018 
     0.018217864      0.026851858      0.016762215 
     0.039148192      0.045520924      0.035398581 
     0.040381333      0.044094058      0.038425081 
     0.028113818      0.037525517      0.026497152 
     0.028571179      0.038175447      0.028668640 
     0.012672342      0.024306702      0.018099456 
     0.014698074      0.035040626      0.021901396 
     0.038703338      0.058752492      0.049196318 
     0.015485419      0.035254280      0.027508207 
    0.0060418314      0.025377286      0.020009246 
  -0.00053454575      0.023811162      0.013936094 
    0.0083372513      0.030650458      0.021423861 
    -0.017391609     0.0016264135    -0.0026551129 
   -0.0062712589      0.018104470     0.0064266366 
    -0.011348531     0.0054642177   8.1524937e-005 
    -0.010110744      0.010814048     0.0013098074 
   -0.0063152328      0.015489942     0.0060037081 
    0.0074055137      0.033113077      0.018836270 
   0.00015091847      0.018437184      0.013788313 
   0.00089445779      0.016406326      0.016917432 
     0.010101252      0.021355804      0.023248870 
     0.018149492      0.015709565      0.029565473 
     0.017749613      0.011323643      0.028806991 
    -0.010776314     -0.018374372     0.0014525858 
   -0.0034232099     -0.010450207     0.0084075223 
    -0.014732903     -0.020441383     0.0010387083 
     0.010405324     0.0071152300      0.027099117 
     0.017292089      0.011809375      0.033273658 
     0.010842671     0.0022845435      0.026349722 
   -0.0092293878     -0.018055922     0.0076710346 
    -0.014205882     -0.022254409     0.0038662923 
    -0.021802035     -0.025402499    -0.0011728137 
    -0.016016006     -0.018081992     0.0045824698 
    -0.016905393     -0.018179840     0.0038117660 
    -0.029879922     -0.023651357    -0.0086274146 
    -0.036252539     -0.031168018     -0.016947161 
    -0.019057369     -0.018428933    0.00040200523 
    -0.026950564     -0.023187326    -0.0088393469 
    -0.044315783     -0.039484955     -0.026076670 
    -0.017469065     -0.010622816    -0.0021503419 
    -0.033949198     -0.024148973     -0.019739508 
    -0.031826755     -0.021508023     -0.018485858 
    -0.015150920    -0.0072890253    -0.0037797556 
   -0.0022558953     0.0068438282     0.0067855445 
    -0.039090226     -0.028165414     -0.030725180 
    -0.026534247     -0.013787516     -0.018851630 
    -0.038599347     -0.029462668     -0.032769383 
    -0.043147867     -0.040252594     -0.038703925 
   -0.0093677271    -0.0077091244    -0.0046443881 
  -0.00063072424   -0.00032693441    -0.0010176861 
    -0.026562124     -0.032309516     -0.026333224 
    -0.015287811     -0.031409350     -0.016609515 
    -0.019805689     -0.054168959     -0.021816014 
    -0.038105310     -0.077438242     -0.038395651 
    -0.045997347     -0.085847684     -0.045329103 
    -0.044311687     -0.082629098     -0.044108770 
    -0.081228550      -0.10987201     -0.080307302 
    -0.085114037      -0.10801700     -0.081276844 
     -0.10049958      -0.12328478     -0.096155855 
    -0.090342095      -0.10767433     -0.083507765 
    -0.090872029      -0.11238758     -0.081891098 
    -0.083998782      -0.10109458     -0.074320109 
    -0.082693790     -0.098666049     -0.072538910 
    -0.086260187     -0.097921894     -0.074171040 
    -0.091064248     -0.097946302     -0.077930292 
    -0.092516405      -0.10045688     -0.078754834 
    -0.082908071     -0.092045410     -0.069755780 
    -0.063586957     -0.074071802     -0.051865879 
    -0.097603755      -0.10465751     -0.084085999 
    -0.098056770      -0.10035770     -0.083308723 
    -0.083074184     -0.086652748     -0.067175980 
    -0.088840667     -0.091575435     -0.072796793 
     -0.10110417      -0.10379079     -0.084199238 
    -0.080866582     -0.083468822     -0.063348888 
    -0.075478619     -0.075785897     -0.058404368 
    -0.071487143     -0.068580713     -0.055137509 

